word,Late_Edmund_Burke,Late_Fanny_Burney,Late_Edward_Gibbon,Late_Oliver_Goldsmith,Shakespeare1,Early_Francis_Bacon,Shakespeare2,Early_Christopher_Marlowe,Shakespeare3,Shakespeare4,Late_Samuel_Johnson,Shakespeare5,Early_Edmund_Spenser,Early_Ben_Jonson,Early_John_Donne
abrogated,3.530013943555077e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absence,1.7650069717775385e-05,0.0005892751915144372,0.00017028857363670898,9.200478424878094e-05,0.0,2.347032177811158e-05,0.0,0.0,0.00019611688566385565,0.0005174912026495549,0.00012156576707999027,0.0,9.583133684714902e-05,0.0,0.00023393636930754835
absent,5.2950209153326155e-05,0.00019642506383814575,2.6198242097955228e-05,0.0001380071763731714,0.0,0.0,0.0,0.0,0.0,0.00020699648105982198,0.0,7.885191610156126e-05,0.0,0.0,7.797878976918278e-05
absolute,0.00031770125491995693,5.6121446810898786e-05,0.0002881806630775075,4.600239212439047e-05,0.00010281719103434094,7.041096533433474e-05,8.517887563884156e-05,0.0,0.0,0.0,0.00012156576707999027,0.00015770383220312253,0.0,9.178522257916475e-05,0.00011696818465377417
absolutely,0.00033535132463773234,0.0002525465106490445,5.2396484195910455e-05,4.600239212439047e-05,0.0,0.00014082193066866948,0.0,9.528346831824679e-05,0.0,0.0,0.0,0.0,0.0,9.178522257916475e-05,3.898939488459139e-05
abstain,5.2950209153326155e-05,0.0,1.3099121048977614e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5892611289582376e-05,0.0
abstract,0.00022945090633108,0.0,1.3099121048977614e-05,0.0,0.0,0.00014082193066866948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001835704451583295,0.0
abstractedly,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abstractions,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5892611289582376e-05,0.0
abstruse,3.530013943555077e-05,0.0,0.0,0.0,0.0,0.00014082193066866948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5892611289582376e-05,0.0
