word,Early,Late,Shakespeare
abstruse,6.307726965532778e-05,1.0070544161853786e-05,0.0
absurd,6.307726965532778e-05,0.00010070544161853786,3.703155088135091e-05
absurdities,1.8022077044379365e-05,3.0211632485561357e-05,0.0
absurdity,6.307726965532778e-05,8.056435329483029e-05,0.0
absurdly,2.7033115566569047e-05,0.0,0.0
abundance,6.307726965532778e-05,1.5105816242780679e-05,1.8515775440675455e-05
abundant,5.4066231133138094e-05,1.5105816242780679e-05,0.0
abuse,6.307726965532778e-05,0.0003323279573411749,7.406310176270182e-05
abused,2.7033115566569047e-05,0.0001359523461850261,7.406310176270182e-05
abuses,5.4066231133138094e-05,0.0001359523461850261,3.703155088135091e-05
abuseth,9.011038522189682e-06,0.0,0.0
abusing,9.011038522189682e-06,5.035272080926893e-06,0.0
ac,9.011038522189682e-06,0.0,0.0
academy,1.8022077044379365e-05,5.035272080926893e-06,0.0
accedunt,9.011038522189682e-06,0.0,0.0
accelerated,9.011038522189682e-06,5.035272080926893e-06,0.0
accept,0.00013516557783284524,0.0002114814273989295,3.703155088135091e-05
acceptable,9.011038522189682e-05,2.5176360404634465e-05,0.0
acceptance,9.011038522189682e-06,3.0211632485561357e-05,1.8515775440675455e-05
accepted,0.00011714350078846587,0.0002064461553180026,0.0
accepteth,9.011038522189682e-06,0.0,0.0
acceptissim,9.011038522189682e-06,0.0,0.0
access,3.604415408875873e-05,4.5317448728342034e-05,7.406310176270182e-05
accessary,4.505519261094841e-05,1.5105816242780679e-05,0.0
accession,6.307726965532778e-05,0.00012588180202317232,0.0
accessions,9.011038522189682e-06,1.0070544161853786e-05,0.0
accessiontac,9.011038522189682e-06,0.0,0.0
accident,0.00011714350078846587,0.00015609343450873368,0.00014812620352540364
accidentally,9.011038522189682e-06,9.063489745668407e-05,0.0
accidents,9.011038522189682e-05,5.538799289019582e-05,5.554732632202637e-05
acclamations,9.011038522189682e-06,0.0001359523461850261,0.0
accommodate,1.8022077044379365e-05,1.5105816242780679e-05,1.8515775440675455e-05
accompanied,5.4066231133138094e-05,0.00019134033907522194,1.8515775440675455e-05
accompany,6.307726965532778e-05,4.5317448728342034e-05,1.8515775440675455e-05
accompanying,9.011038522189682e-06,2.0141088323707573e-05,0.0
